claim_id,anchor,section,claim_type,severity,claim_text,expected_evidence_type,verification_method,pass_criteria,status,evidence_anchor,notes,original_anchor
claim-0038,docs/src/assurance/safety-case.md:13,assurance,descriptive,high,- fail-safe mode constrains actions when coordination confidence drops,,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:51-59,213-215) (`decide` forcing `FailSafe` when trust degrades); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:393-402,572-603) (`transition_matrix_cases`, `fail_safe_holds_without_quorum_and_exits_when_restored`); [src/ha/e2e_multi_node.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs:1496-1560) (`wait_for_all_nodes_failsafe`)",Verified: fail-safe is explicitly entered when coordination trust is insufficient and tests verify the node remains constrained until trust/conditions recover.,docs/src/assurance/safety-case.md:13
claim-0039,docs/src/assurance/safety-case.md:14,assurance,descriptive,low,- recovery paths (rewind/bootstrap) are explicit before rejoin,,,,verified,"[src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:131-183) (Primary→Rewinding→Bootstrapping→Fencing ladder, explicit action ordering); [src/ha/decide.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:404-446) (`transition_matrix_cases` rewind/bootstrap success/failure routing); [src/ha/worker.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:1269-1286,1290-1333) (`integration_primary_unreachable_rewinds_then_returns_replica_on_success`, `integration_primary_split_brain_enters_fencing...`)","Verified: recovery paths are explicit in the transition model and executed as ordered actions before normal service continuation (rewind, then bootstrap, then fencing on repeated failure).",docs/src/assurance/safety-case.md:14
claim-0040,docs/src/assurance/safety-case.md:19,assurance,descriptive,low,- etcd endpoints are configured correctly for the intended cluster,,,,verified,"[src/config/parser.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/config/parser.rs:575-589) (`validate_runtime_config`: requires at least one non-empty etcd endpoint); [src/runtime/node.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:204-208,657-721) (shared endpoints passed to DCS/HA/API stores); [src/dcs/etcd_store.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/etcd_store.rs:51-64) (`connect` rejects empty endpoint list); [src/test_harness/ha_e2e/startup.rs](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs:163-166,259-265) (`start_cluster` requires real binaries + non-empty etcd client endpoints)",Verified: endpoint list validation and store initialization show explicit wiring and rejection of empty/blank endpoint configurations; all three worker store clients are created from the same configured `cfg.dcs.endpoints`.,docs/src/assurance/safety-case.md:19
claim-0041,docs/src/contributors/ha-pipeline.md:7,contributors,descriptive,low,1. Read latest PostgreSQL and DCS state snapshots.,,,,verified,"[`src/ha/worker.rs:72-97`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L72-L97) (`step_once` → `world_snapshot`), [`src/ha/worker.rs:325-330`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L325-L330) (`WorldSnapshot` fields)","HA step builds `WorldSnapshot` by reading `ctx.pg_subscriber.latest()` and `ctx.dcs_subscriber.latest()` directly, so it reads the latest PG and DCS state snapshots before deciding.",docs/src/contributors/ha-pipeline.md:7
claim-0042,docs/src/contributors/ha-pipeline.md:8,contributors,descriptive,low,2. Evaluate trust posture and leader evidence.,,,,verified,"[`src/ha/decide.rs:23-30`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L23-L30) (trust/leader extraction), [`src/ha/decide.rs:241-260`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L241-L260) (`is_available_primary_leader`), [`src/dcs/state.rs:87-103`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L87-L103) (`evaluate_trust`)","Verified: decision uses `world.dcs.value.trust` and `world.dcs.value.cache.leader`, and the helper checks leader membership/availability in the DCS cache, so trust posture and leader evidence are both part of the decision inputs.",docs/src/contributors/ha-pipeline.md:8
claim-0043,docs/src/contributors/ha-pipeline.md:24,contributors,descriptive,low,"- local process actions: start (start postgres), promote, demote, rewind, bootstrap (there is no HA-level stop action)",,,,rewritten,"[`src/ha/actions.rs:17-29`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/actions.rs#L17-L29), [`src/process/state.rs:46-55`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/state.rs#L46-L55) (`ProcessJobKind::StopPostgres`), [`src/ha/worker.rs:137-185`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L137-L185) (`dispatch_actions` mappings)","Rewrite to: “Local HA-driven process action categories are `start` (start postgres), `promote`, `demote`, `rewind`, and `bootstrap` via `HaAction::StartPostgres`, `PromoteToPrimary`, `DemoteToReplica`, `StartRewind`, `RunBootstrap`; there is no HA `stop` action (`StopPostgres` exists only as a process job kind, not an HA action).”",docs/src/contributors/ha-pipeline.md:24
claim-0044,docs/src/contributors/ha-pipeline.md:25,contributors,descriptive,low,"- coordination actions: leader lease acquire/release, switchover intent clear",,,,verified,"[`src/ha/actions.rs:17-28`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/actions.rs#L17-L28), [`src/ha/worker.rs:99-136`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L99-L136), [`src/dcs/store.rs:55-63`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs#L55-L63) (`DcsHaWriter` methods)","Verified: HA emits coordination actions `AcquireLeaderLease`, `ReleaseLeaderLease`, and `ClearSwitchover`, and dispatch writes/deletes the corresponding DCS paths (`/scope/leader`, `/scope/switchover`).",docs/src/contributors/ha-pipeline.md:25
claim-0045,docs/src/contributors/harness-internals.md:8,contributors,descriptive,low,- start and stop etcd clusters,,,,verified,"[src/test_harness/ha_e2e/startup.rs:201]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs#L201), [src/test_harness/ha_e2e/startup.rs:241]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs#L241), [src/test_harness/ha_e2e/startup.rs:258]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs#L258), [src/test_harness/etcd3.rs:189]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/etcd3.rs#L189), [src/test_harness/ha_e2e/ops.rs:168]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/ops.rs#L168), [src/test_harness/etcd3.rs:117]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/etcd3.rs#L117), [src/ha/e2e_multi_node.rs:1615]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs#L1615)","The harness starts clusters through `start_cluster_inner -> spawn_etcd3_cluster` and uses explicit teardown paths (`shutdown_all`/`shutdown_member`), satisfying “start and stop etcd clusters” as concrete runtime behavior.",docs/src/contributors/harness-internals.md:8
claim-0046,docs/src/contributors/codebase-map.md:5,contributors,descriptive,low,## Primary runtime modules,,,,removed,"[src/lib.rs:9-21]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/lib.rs:9 ) (top-level public modules), [src/runtime/node.rs:741-753]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:741 ) (worker run orchestration)","Rewritten: “Primary runtime modules are the top-level runtime-facing modules exported from `src/lib.rs` (including `api`, `config`, `dcs`, `debug_api`, `ha`, `logging`, `pginfo`, `process`, `runtime`, `state`), and they are assembled into a running node via worker contexts and coordinated execution in `runtime/node.rs`.”; status adjusted in adjudication: heading/table-of-contents line, not a verifiable behavioral claim",docs/src/contributors/codebase-map.md:5
claim-0047,docs/src/contributors/codebase-map.md:9,contributors,descriptive,low,"- `src/dcs`: coordination store integration, cache/trust handling, membership publication",,,,verified,"[src/dcs/mod.rs:3-7]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/mod.rs:3 ) (module structure), [src/dcs/state.rs:60-103]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs:60 ) (`DcsCache`, `DcsState`, `evaluate_trust`), [src/dcs/store.rs:102-114]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:102 ) (`write_local_member`), [src/dcs/worker.rs:81-84]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:81 ) (membership publication behavior)","Verified: this claim is accurate as written: the DCS module provides store abstraction, cache/trust state, and member publication plumbing.",docs/src/contributors/codebase-map.md:9
claim-0048,docs/src/contributors/testing-system.md:9,contributors,descriptive,low,- Real-binary e2e tests: PostgreSQL and etcd process orchestration,,,,verified,"[src/test_harness/ha_e2e/startup.rs:163-165]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs:163 ) (`require_pg16_process_binaries_for_real_tests`, `require_etcd_bin_for_real_tests`), [src/test_harness/ha_e2e/startup.rs:258-260]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs:258 ) (`spawn_etcd3_cluster`), [src/test_harness/pg16.rs:90-124]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/pg16.rs:90 ) (`spawn_pg16`), [src/test_harness/ha_e2e/startup.rs:333-400]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/test_harness/ha_e2e/startup.rs:333 ) (node runtime setup and startup orchestration)",Verified: real-binary e2e tests explicitly require and launch real PostgreSQL and etcd binaries/processes and then start runtime nodes through harness orchestration.,docs/src/contributors/testing-system.md:9
claim-0049,docs/src/contributors/verification.md:11,contributors,descriptive,low,- verify with primary evidence from implementation and tests,,,,removed,N/A (no system/runtime symbol for “documentation verification quality”); this is a process/doc-structure claim,"Uncertain: this is a contributor-process requirement, not a runtime invariant; proposed follow-up replacement wording: `The repository’s contributor workflow is validated via separate process artifacts, not as an operator-runtime behavioral claim.`; status adjusted in adjudication: normative contributor guidance, not a runtime behavior claim",docs/src/contributors/verification.md:11
claim-0050,docs/src/contributors/verification.md:13,contributors,invariant,high,- downgrade or remove claims that cannot be evidenced,,,,removed,N/A (no runtime/code symbol proves “all claims must be downgraded/removed if not evidenced” as a product behavior),"Uncertain: this is a documentation governance rule, not an implementation runtime invariant; proposed replacement wording: `Unverified behavioral claims in docs should be removed from operator-facing pages and queued as follow-up verification work.`; status adjusted in adjudication: normative contributor guidance, not a runtime behavior claim",docs/src/contributors/verification.md:13
claim-0051,docs/src/lifecycle/bootstrap.md:6,lifecycle,descriptive,low,- initializing a new primary,,,,verified,"`src/runtime/node.rs:146-160` (`plan_startup`), `src/runtime/node.rs:237-238` (`select_startup_mode`), `src/runtime/node.rs:287-288` (`StartupMode::InitializePrimary`), `src/runtime/node.rs:1058-1073` (`select_startup_mode_uses_initialize_when_no_leader_evidence`)","Verified: with no local data and no healthy-leader signal, startup selects `InitializePrimary`, then claims/init-lock seeding and bootstrap execution follow (`src/runtime/node.rs:345-360`, `src/runtime/node.rs:346-357`).",docs/src/lifecycle/bootstrap.md:6
claim-0052,docs/src/lifecycle/bootstrap.md:7,lifecycle,descriptive,low,- cloning as a replica from a healthy source,,,,verified,"`src/runtime/node.rs:273-278` (`select_startup_mode` returns `CloneReplica`), `src/runtime/node.rs:364-374` (`execute_startup` uses `ProcessJobKind::BaseBackup`), `src/runtime/node.rs:1003-1055` (`select_startup_mode_prefers_clone_when_foreign_healthy_leader_exists`)","Verified: healthy leader evidence routes startup into `StartupMode::CloneReplica`, and startup executes a basebackup path with a replicated source connection before starting PostgreSQL.",docs/src/lifecycle/bootstrap.md:7
claim-0053,docs/src/lifecycle/bootstrap.md:14,lifecycle,descriptive,low,HasData -->|no| HasLeader{Healthy leader evidence in DCS?},,,,verified,"`src/runtime/node.rs:162-201` (`inspect_data_dir`), `src/runtime/node.rs:236-238` (`DataDirState::Existing -> ResumeExisting`), `src/runtime/node.rs:1077-1089` (`select_startup_mode_uses_resume_when_pgdata_exists`)","Verified: local PG data detection is based on `PG_VERSION`, and existing data leads to `ResumeExisting` mode.",docs/src/lifecycle/bootstrap.md:14
claim-0054,docs/src/lifecycle/bootstrap.md:15,lifecycle,descriptive,low,HasLeader -->|yes| Clone[Clone as replica],,,,verified,"`src/runtime/node.rs:243-253`, `src/runtime/node.rs:258-279` (leader detection from healthy `leader`/`member` records), `src/runtime/node.rs:276-278` (`StartupMode::CloneReplica`), `src/runtime/node.rs:364-371`","Verified: if healthy-leader evidence is found, startup selects `CloneReplica` rather than initialize.",docs/src/lifecycle/bootstrap.md:15
claim-0055,docs/src/lifecycle/bootstrap.md:16,lifecycle,descriptive,low,HasLeader -->|no| HasInitLock{Init lock present?},,,,rewritten,"`src/runtime/node.rs:239-289`, `src/runtime/node.rs:281-287`, `src/runtime/node.rs:1093-1117`","Replacement wording: “If no local data exists and no healthy primary leader is observed, startup initializes only when no DCS init lock is present; if the init lock is present it returns a startup planning error (`cluster is already initialized...`) instead of initializing.”",docs/src/lifecycle/bootstrap.md:16
claim-0056,docs/src/lifecycle/bootstrap.md:27,lifecycle,descriptive,low,"Startup does one DCS cache probe before deciding a mode and then proceeds directly. It is single-pass plan selection, not a prolonged evidence-gathering loop.",,,,rewritten,"`src/runtime/node.rs:146-160`, `src/runtime/node.rs:204-227`, `src/runtime/node.rs:229-293`","Replacement wording: “Startup does one DCS cache probe (`probe_dcs_cache`) before deciding mode and then proceeds directly; behavior is single-pass plan selection, not a documented prolonged evidence-gathering loop.”",docs/src/lifecycle/bootstrap.md:25
claim-0057,docs/src/lifecycle/bootstrap.md:31,lifecycle,descriptive,low,"Startup symptoms often determine later failover quality. If bootstrap repeatedly fails, common causes include binary wiring, data directory permissions, replication auth, and DCS scope consistency; check these before forcing manual role assumptions.",,,,rewritten,"`src/runtime/node.rs:349-357`, `src/runtime/node.rs:361-374`; `src/process/worker.rs:614-650` (`BaseBackup` command validation/arguments); `src/process/worker.rs:1088-1170` (`build_command_basebackup_uses_pg_basebackup_binary_and_args`); `src/test_harness/ha_e2e/startup.rs:696-724`, `src/test_harness/ha_e2e/startup.rs:729-739`, `src/test_harness/pg16.rs:58-79`","This is partially supported as operational guidance but not a direct, explicit runtime rule; add follow-up evidence is needed for a hard guarantee that bootstrap retry guidance (binary paths, directory permissions, replication auth, scope consistency) is enforced before manual role assumptions, beyond surfacing errors in startup/harness failures.
Resolved by rewriting to bounded operational guidance; no hard runtime guarantee implied.",docs/src/lifecycle/bootstrap.md:29
claim-0058,docs/src/interfaces/index.md:15,interfaces,descriptive,low,API --> DCS[(DCS intent records)],,,,verified,[src/api/worker.rs:190-205](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs#L190-L205); [src/api/controller.rs:19-40](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/controller.rs#L19-L40); [src/api/controller.rs:42-49](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/controller.rs#L42-L49); [tests/bdd_api_http.rs:428-477](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/tests/bdd_api_http.rs#L428-L477),"Verified: `/switchover` operations are handled by API and mapped to DCS writes/deletes of the `switchover` intent key, which is exactly what the interface diagram describes.",docs/src/interfaces/index.md:15
claim-0059,docs/src/contributors/worker-wiring.md:12,contributors,descriptive,low,- ha: HA decision loop (phase + actions),,,,rewritten,"[`src/runtime/node.rs:659`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs#L659), [`src/dcs/state.rs:76`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L76), [`src/ha/worker.rs:742-744`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs#L742-L744) (`crate::dcs::worker::run`)",Rewrite to: “The wired DCS worker runtime uses `DcsWorkerCtx` and starts via `crate::dcs::worker::run(...)` (there is no concrete `DcsWorker` symbol in code).”,docs/src/contributors/worker-wiring.md:12
claim-0060,docs/src/contributors/worker-wiring.md:17,contributors,descriptive,low,The runtime starts workers with shared state receivers/senders and coordination store handles. Each worker owns one primary output state and consumes specific upstream inputs.,,,,verified,"[`src/runtime/node.rs:594-751`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs#L594-L751), [`src/ha/state.rs:62-70`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/state.rs#L62-L70), [`src/process/state.rs:101-113`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/state.rs#L101-L113), [`src/api/worker.rs:26-37`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs#L26-L37), [`src/runtime/node.rs:657-700`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs#L657-L700)","Verified: runtime creates shared channels up front and injects specific inbound channels/stores per worker; each worker struct carries a single output `StatePublisher` plus defined inbound inputs, matching the claimed flow-oriented ownership pattern.",docs/src/contributors/worker-wiring.md:19
claim-0061,docs/src/contributors/worker-wiring.md:22,contributors,descriptive,low,- DCS worker publishes trust plus cache state and writes local membership.,,,,verified,"[`src/dcs/worker.rs:72-84`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs#L72-L84), [`src/dcs/worker.rs:107-113`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs#L107-L113), [`src/dcs/state.rs:87-103`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L87-L103), [`src/dcs/worker.rs:471-523`]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs#L471-L523) (`step_once_publishes_and_writes_only_self_member`)","Verified: DCS worker evaluates trust from cache/store health, publishes `DcsState` containing `trust` and full `cache`, and writes its own member record to DCS (`/scope/member/{self_id}`) as part of normal stepping.",docs/src/contributors/worker-wiring.md:24
claim-0062,docs/src/lifecycle/recovery.md:3,lifecycle,descriptive,high,"After failover or fencing events, nodes may need recovery work before they can safely follow or become eligible again.",,,,verified,"[src/ha/decide.rs:125-139]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L125), [src/ha/e2e_partition_chaos.rs:840-875]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_partition_chaos.rs#L840), [src/ha/e2e_partition_chaos.rs:881-882]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_partition_chaos.rs#L881)","Verified: unreachable primary transitions to `Rewinding` (`StartRewind`) or split-brain transitions to `Fencing`, and recovery-only phases are enforced before a node is rejoined/considered stable.",docs/src/lifecycle/recovery.md:3
claim-0063,docs/src/lifecycle/recovery.md:6,lifecycle,descriptive,low,- rewind when divergence is recoverable,,,,verified,"[src/ha/decide.rs:131-134,141-162]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L131), [src/ha/worker.rs:233-251]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L233), [src/process/worker.rs:651-684]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs#L651), [src/ha/worker.rs:1269-1279]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L1269)",Verified: recovery path explicitly selects `StartRewind` on post-failover/reachability loss and moves back to `Replica` on rewind success.,docs/src/lifecycle/recovery.md:6
claim-0064,docs/src/lifecycle/recovery.md:7,lifecycle,descriptive,low,- bootstrap when rewind is unsafe or unavailable,,,,verified,"[src/ha/decide.rs:160-162,182-184,420-445,434-474]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L160), [src/ha/worker.rs:259-277]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L259), [src/process/worker.rs:2048-2077]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs#L2048), [src/process/worker.rs:2266-2297]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs#L2266)","Verified: rewind failure routes to bootstrap (`RunBootstrap`) and bootstrap failure routes to fencing (`FenceNode`), matching the stated fallback chain.",docs/src/lifecycle/recovery.md:7
claim-0065,docs/src/lifecycle/recovery.md:8,lifecycle,descriptive,low,- rejoin as replica after data and coordination state are coherent,,,,verified,"[src/ha/decide.rs:75-83,89-99,147-154,175-177]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L75), [src/ha/e2e_partition_chaos.rs:881-882,897-919]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_partition_chaos.rs#L881), [src/ha/e2e_multi_node.rs:1922-1931,1992-1994,2010-2025]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs#L1922), [src/dcs/state.rs:87-103]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L87)","Verified: after successful recovery (`Rewinding`/`Bootstrapping`) the node transitions to `Replica` and follows a healthy active leader when present, with e2e checks confirming post-recovery convergence and no dual-primary windows.",docs/src/lifecycle/recovery.md:8
claim-0066,docs/src/lifecycle/recovery.md:12,lifecycle,invariant,high,"A node that was previously primary can carry divergent history. Recovery and rejoin behavior is driven by explicit process outcomes (success/failure/timeout) plus DCS trust and leader reachability, and it requires a recovery action before rejoin when divergence risk exists.",,,,rewritten,"[src/ha/decide.rs:20-46,141-175]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L20), [src/dcs/state.rs:37]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L37), [src/process/state.rs:72-90]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/state.rs#L72)","Replace with: `Recovery rejoin flow is driven by process outcome (Success/Failure/Timeout/Cancelled) plus DCS trust/leader reachability, and the current transition logic does not include an explicit timeline-id conflict guard before rejoin.`",docs/src/lifecycle/recovery.md:12
claim-0067,docs/src/lifecycle/recovery.md:20,lifecycle,descriptive,low,"If a node repeatedly fails to rejoin, treat identity, replication auth, and rewind connectivity as first-class diagnostics. The runtime surfaces these issues through process job outcomes and errors; avoid forcing eligibility until recovery preconditions are satisfied.",,,,rewritten,"[src/runtime/node.rs:1166-1177]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs#L1166), [src/process/worker.rs:878-883,1347-1384]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/worker.rs#L878), [src/process/state.rs:72-90]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/process/state.rs#L72)","Replace with: `When recovery fails repeatedly, the runtime exposes process outcomes and role/configured credentials via command dispatch and job errors, but there is no dedicated first-class diagnostics channel specifically for identity/replication-auth/rewind-connectivity precondition triage. Add explicit counters/messages before claiming such priority diagnostics.`",docs/src/lifecycle/recovery.md:20
claim-0068,docs/src/lifecycle/failsafe-fencing.md:1,lifecycle,descriptive,high,# Fail-Safe and Fencing,,,,removed,n/a,Removed: this row is a section heading (`docs...:1`) not a verifiable claim. Replace with: `The system represents safety behavior explicitly as HA phases FailSafe and Fencing in runtime state.`,docs/src/lifecycle/failsafe-fencing.md:1
claim-0069,docs/src/lifecycle/failsafe-fencing.md:3,lifecycle,descriptive,high,Fail-safe and fencing are the lifecycle's safety brakes.,,,,verified,"[`src/ha/state.rs:HaPhase`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/state.rs#L20), [`src/ha/decide.rs:decide`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L51), [`src/ha/e2e_multi_node.rs:e2e_no_quorum_enters_failsafe_strict_all_nodes`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs#L2494), [`src/ha/e2e_multi_node.rs:e2e_no_quorum_fencing_blocks_post_cutoff_commits_and_preserves_integrity`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/e2e_multi_node.rs#L2589)",Verified: `decide` moves to `FailSafe` on degraded trust and to `Fencing` on conflicting primary signals; e2e no-quorum/fencing tests assert that this transition materially enforces split-brain prevention (no dual-primary windows and bounded write behavior).,docs/src/lifecycle/failsafe-fencing.md:3
claim-0070,docs/src/lifecycle/failsafe-fencing.md:5,lifecycle,descriptive,high,- Fail-safe: coordination trust is degraded enough that normal HA actions should be constrained.,,,,verified,"[`src/dcs/state.rs:evaluate_trust`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/state.rs#L87), [`src/ha/decide.rs:decide`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L51), [`src/ha/decide.rs:transition_matrix_cases`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs#L306), [`src/ha/worker.rs:integration_transitions_replica_candidate_primary_and_failsafe`](/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs#L1223)","Verified: trust degrades to `FailSafe`/`NotTrusted` in `evaluate_trust` when core DCS invariants are missing, and `decide` maps non-`FullQuorum` to `FailSafe` with `SignalFailSafe`, limiting normal HA progression.",docs/src/lifecycle/failsafe-fencing.md:5
